factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
LogMktCapCubed,Log of Market Capitalization Cubed,Size,0.03327489865080313,0.9977137208873758,1.1151677853844262,0.9977137208873758,3.0,219.0
24MResRtnVar,24M Residual Return Variance,Price Momentum,0.049933240338296825,0.9819298968695748,0.9571277779912334,0.9819298968695748,29.0,220.0
SharpeRatio,Sharpe Ratio,Price Momentum,0.07282375754122561,0.9794600132529662,0.9457939493545688,0.9794600132529662,30.0,221.0
PrcTo52WH,Closing Price to 52 Week High,Price Momentum,0.049854083157973905,0.9759217107167814,1.073941496638716,0.9759217107167814,31.0,222.0
NCAP,Net Current Assets to Price Ratio,Valuation,0.027226908877407086,0.9510448897200685,1.2949594590777402,0.9510448897200685,38.0,223.0
RskAdjRS,Risk Adjusted Relative Strength,Price Momentum,0.02410247346540828,0.9340570669999589,0.8524032885270314,0.9340570669999589,32.0,224.0
Alpha18M6MPChg,6M Chg in 18M CAPM Alpha,Price Momentum,0.016316334331200943,0.9330857939517706,0.8685844383417373,0.9330857939517706,33.0,225.0
10DMACD,10 Day MACD Trend,Price Momentum,0.03806275643344326,0.9254615690468461,1.1294677262394663,0.9254615690468461,34.0,226.0
IO_ChgofNumBY,Change in Number of Buyers,Price Momentum,0.03883418055992527,0.9181295521351177,0.7098061996534328,0.9181295521351177,35.0,227.0
MaxRetPayoff,Max Daily Return in the Past 6 Months,Price Momentum,0.01964660298049914,0.903025289876771,0.7900160813419693,0.903025289876771,36.0,228.0
BuyToSellRecLess3MSMA,Buy-to-Sell Recommendation Ratio Less 3M SMA,Analyst Expectations,0.018594638462914537,0.8964996137328082,0.8003889852797633,0.8964996137328082,18.0,229.0
6MChgTgtPrcGapEMA,Target Price Gap to 6M EMA,Analyst Expectations,0.027802893761722736,0.8911483188483459,0.9253576365704305,0.8911483188483459,19.0,230.0
IO_BreadthStabHD,Ownership Breadth Stability of Institution Ownership by Holders,Price Momentum,0.033472259483839695,0.8514024150569129,0.9660715070490626,0.8514024150569129,37.0,231.0
STO,Share Turnover,Price Momentum,0.037294982853028014,0.8478400803860594,0.9321633641864802,0.8478400803860594,38.0,232.0
EBITP,EBIT to Price,Valuation,0.03380771319211329,0.828828102927562,0.7050728227670164,0.828828102927562,39.0,233.0
AstAdjChg3YCF,3Y Chg in Asset Adjusted Cash Flow,Historical Growth,0.02756127529060337,0.8073978464857439,0.7567720766839844,0.8073978464857439,52.0,234.0
PTMargin,Pretax Profit Margin,Capital Efficiency,0.024527826198169844,0.8043649205300135,0.7890847770809089,0.8043649205300135,27.0,235.0
IO_Level,Institution Ownership Level,Price Momentum,0.036093241201544446,0.802575436823977,0.851108869604594,0.802575436823977,39.0,236.0
ChgSalestoChgEPS,Change of Sales to Change of EPS,Earnings Quality,0.024930456403208012,0.797981607189518,0.8915438222270861,0.797981607189518,50.0,237.0
Chg3YEPS,3Y Chg in Earnings per Share,Historical Growth,0.02015143965884758,0.7944471754002349,0.7283857861181715,0.7944471754002349,53.0,238.0
InvToAstChg1Y,Year over Year Change of Inventory to Assets,Earnings Quality,0.015652472288040453,0.7907411868217659,0.9034611793871935,0.7907411868217659,51.0,239.0
EBITEstDisp,EBIT Estimate Dispersion,Analyst Expectations,0.02698143387391294,0.7880255844043108,0.817755224833454,0.7880255844043108,20.0,240.0
3YAvgAnnSalesGrw,3Y Average Annual Sales Growth,Historical Growth,0.03534840740862899,0.7854547539827255,0.8414135344591486,0.7854547539827255,54.0,241.0
stdRR36M,Standardized 36M Residual,Price Momentum,0.02851673202934668,0.7562229789099841,0.8074264789327931,0.7562229789099841,40.0,242.0
RDInt,Research & Development Intensity,Earnings Quality,0.03711916162756901,0.7469344197045701,0.7197073696434719,0.7469344197045701,52.0,243.0
Chg3YCF,3Y Chg in Cash Flow per Share,Historical Growth,0.022689631387218023,0.7468934081724525,0.9659370181116099,0.7468934081724525,55.0,244.0
60MAVGTTMROE,Normalized ROE,Capital Efficiency,0.02147249904346027,0.7209604555180318,0.685245821619642,0.7209604555180318,28.0,245.0
130DMinRtn,130 Day Minimum Return,Volatility,0.03822674207132848,0.6907243492984709,0.6502681160987048,0.6907243492984709,9.0,246.0
STO_6M,6 Month Average Share Turn Over,Price Momentum,0.03389899978474009,0.6859767266866423,0.7929131620605133,0.6859767266866423,41.0,247.0
IO_Concentration,Institution Ownership Concentration,Price Momentum,0.018033221408571887,0.684712485395216,0.7818241514277388,0.684712485395216,42.0,248.0
IO_ChgofIO_HF,Change of Ownership Level - Hedge Fund,Price Momentum,0.023640408065953133,0.6710946309475833,0.8554475467406153,0.6710946309475833,43.0,249.0
IO_TO,Institution Ownership Turnover,Price Momentum,0.019828637967072238,0.6704395273503927,0.8360050430746327,0.6704395273503927,44.0,250.0
PM5D,5 Day Price Reversal,Price Momentum,0.017393682930042065,0.6396787068408877,0.7169787179492418,0.6396787068408877,45.0,251.0
IO_ChgofIO_AM,Change of Ownership Level - All Managers,Price Momentum,0.012690745081422206,0.6311761689575411,0.6634259257949429,0.6311761689575411,46.0,252.0
REToAst,Retained Earnings to Total Assets,Earnings Quality,0.018962288015012208,0.6117638026068273,0.656913421302888,0.6117638026068273,53.0,253.0
IO_InvDuration,Investment Duration,Price Momentum,0.022467429628588054,0.5705370449399317,0.6301468571684666,0.5705370449399317,47.0,254.0
RevEstDisp,Revenue Estimate Dispersion,Analyst Expectations,0.01921142147326127,0.5615101400800481,0.5755334060877444,0.5615101400800481,21.0,255.0
ROEStddev20Q,ROE 20 Qtr Standard Deviation,Earnings Quality,0.014049610091419806,0.5287265268934409,0.6401049772045345,0.5287265268934409,54.0,256.0
ChgDeprCapex,Change in TTM Depr. to Capex,Earnings Quality,0.008786170206871224,0.5065281094357987,0.5235753140849075,0.5065281094357987,55.0,257.0
6MAvgChg1MRecC,6M Avg Chg 1M Recommendation,Analyst Expectations,0.00667989824759907,0.4592131852028902,0.4432828935849954,0.4592131852028902,22.0,258.0
6MChgTgtPrcGap,6M Chg in Target Price Gap,Analyst Expectations,0.0118689524757154,0.42161200199841875,0.4256115651092034,0.42161200199841875,23.0,259.0
Chg3YOPM,3Y Chg in Operating Margin,Historical Growth,0.01073316257264123,0.3627072107534363,0.4807944201752397,0.3627072107534363,56.0,260.0
8WChgFwd12MEPS,8-Week Change in 12-Month Forward Earnings Consensus Estimate/Price,Valuation,0.010162631052393456,0.36054668386032235,0.4403420224442923,0.36054668386032235,40.0,261.0
14DayRSI,14-Day Relative Strength Index,Price Momentum,0.004738400440438495,0.19116167942842927,0.18370962340480826,0.19116167942842927,48.0,262.0
BuyToSellRecLess3MEMA,Buy-to-Sell Recommendation Ratio Less 3M EMA,Analyst Expectations,0.0025141924976008756,0.16251180626438524,0.1575277553467295,0.16251180626438524,24.0,263.0
Chg1YTurnover,1Y Chg in Share Turnover,Price Momentum,0.001938101272614512,0.12640993854444477,0.15087477216021825,0.12640993854444477,49.0,264.0
Adj50DVolSig,Adj 50 Day Volume Signal,Volatility,-0.005968082952914067,-0.07051365934686776,-0.0739031669921792,-0.07051365934686776,10.0,265.0
4WChgFwd12MEPS,4-Week Change in 12-Month Forward Earnings Consensus Estimate/Price,Valuation,-0.0066673179328397,-0.0771387868289689,-0.08886703340331233,-0.0771387868289689,41.0,266.0
50DVolSig,50 Day Volume Signal,Price Momentum,-0.005700822408741257,-0.10661206148733773,-0.09739945851525525,-0.10661206148733773,50.0,267.0
PM6M,6 Months Price Reversal,Price Momentum,-0.017825685474595176,-0.2504511172588568,-0.30175111548372985,-0.2504511172588568,51.0,268.0
20DStochastic,20-Day Lane's Stochastic Indicator,Price Momentum,-0.013566471041382755,-0.2879121529449675,-0.2970957994838619,-0.2879121529449675,52.0,269.0
5DMoneyFlowVol,5-Day Money Flow/Volume,Price Momentum,-0.010859597295394652,-0.3358896242629153,-0.34233689604159867,-0.3358896242629153,53.0,270.0
HL1M,1M Price High - 1M Price Low,Price Momentum,-0.0193390908781762,-0.44398045591342006,-0.4467838501201831,-0.44398045591342006,54.0,271.0
5DVolSig,5 Day Volume Signal,Price Momentum,-0.018707208371429807,-0.5660341639876278,-0.5985045599998825,-0.5660341639876278,55.0,272.0
PM1M,1M Price Reversal,Price Momentum,-0.04024828988012841,-0.7091583975690607,-0.9872314002298268,-0.7091583975690607,56.0,273.0
