factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
StdErr180D,180D Price TStat,Price Momentum,0.015073611911480045,0.38966476725374355,0.44940248030305824,0.38966476725374355,48.0,264.0
IO_TO,Institution Ownership Turnover,Price Momentum,0.0090043933457582,0.3448713974950052,0.32596561271241054,0.3448713974950052,49.0,265.0
DivToCF,Dividends to Cash Flow,Valuation,0.011970267617649188,0.33780871889510516,0.35685198644462973,0.33780871889510516,42.0,266.0
4WChgFwd12MEPS,4-Week Change in 12-Month Forward Earnings Consensus Estimate/Price,Valuation,0.009502914942188356,0.31988597699438337,0.3372141883510158,0.31988597699438337,43.0,267.0
PM5D,5 Day Price Reversal,Price Momentum,0.0067768161439030195,0.2502292743608242,0.2544454208246653,0.2502292743608242,50.0,268.0
CVVolPrc30D,30 Day Coefficient of Variation of Volume to Price,Price Momentum,0.005170404791387639,0.2027632566726602,0.19695289149819264,0.2027632566726602,51.0,269.0
PrcTo260DL,Closing Price to 260 Day Low,Price Momentum,0.004729956446279493,0.1976967073938771,0.1755972049836517,0.1976967073938771,52.0,270.0
PM6M,6 Months Price Reversal,Price Momentum,0.004779166396890355,0.19384094756950548,0.2660040603094441,0.19384094756950548,53.0,271.0
5DVolSig,5 Day Volume Signal,Price Momentum,0.002068910917016442,0.13200132308462373,0.13289210942028165,0.13200132308462373,54.0,272.0
RevEstDisp,Revenue Estimate Dispersion,Analyst Expectations,4.37410296867391e-05,0.04976361844562736,0.05028894985019419,0.04976361844562736,24.0,273.0
5DMoneyFlowVol,5-Day Money Flow/Volume,Price Momentum,-0.0025348090033381343,-0.07220299706917777,-0.07925477847549002,-0.07220299706917777,55.0,274.0
SharpeRatio,Sharpe Ratio,Price Momentum,-0.012395430102397631,-0.0891705649215501,-0.09592389103101702,-0.0891705649215501,56.0,275.0
14DayRSI,14-Day Relative Strength Index,Price Momentum,-0.006419987368937119,-0.13586240279027242,-0.15617993288029336,-0.13586240279027242,57.0,276.0
IO_ChgofIO_AM,Change of Ownership Level - All Managers,Price Momentum,-0.006482028994141964,-0.2907030531464626,-0.34507287267389447,-0.2907030531464626,58.0,277.0
Chg1YTurnover,1Y Chg in Share Turnover,Price Momentum,-0.013372114161572135,-0.4930444782586075,-0.44855581011540907,-0.4930444782586075,59.0,278.0
