factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
OPM,Operating Margin,Earnings Quality,0.02881930028351043,1.5296403411588266,1.4255446868221984,1.5296403411588266,15.0,61.0
FCFEV,Free Cash Flow to Enterprise Value,Valuation,0.022087627230640505,1.5116738437975794,1.5285348656101065,1.5116738437975794,5.0,62.0
IO_Level,Institution Ownership Level,Price Momentum,0.029749739263014607,1.4958373045742364,1.4462706372196201,1.4958373045742364,6.0,63.0
AstAdjChg3YOCF,3Y Chg in Asset Adjusted Operating Cash Flow,Historical Growth,0.025038964680887732,1.4921019641937583,1.4665147427453074,1.4921019641937583,20.0,64.0
AccrualRatioBS,Accrual Ratio - Balance Sheet,Earnings Quality,0.023096994929109105,1.4659082495688414,1.5003484993551428,1.4659082495688414,16.0,65.0
24MResRtnVar,24M Residual Return Variance,Price Momentum,0.044920942535752406,1.4625825195080897,1.6898205712957437,1.4625825195080897,7.0,66.0
IntCovRatio,Interest Coverage Ratio,Capital Efficiency,0.020676683153125763,1.4515940416040314,1.4381657910348906,1.4515940416040314,7.0,67.0
SEV,Sales to EV Ratio,Valuation,0.03797536222490816,1.4299504609045866,1.705697505058853,1.4299504609045866,6.0,68.0
6MChgTgtPrcGap,6M Chg in Target Price Gap,Analyst Expectations,0.027224476171792578,1.4158891341562558,1.534410755831868,1.4158891341562558,13.0,69.0
AstAdjChg3YCF,3Y Chg in Asset Adjusted Cash Flow,Historical Growth,0.028262832777552926,1.4092270423526798,1.3723827029306266,1.4092270423526798,21.0,70.0
DepToCapex,Depreciation to Capex Ratio,Earnings Quality,0.022454795302124797,1.3878160531905894,1.5428052754833306,1.3878160531905894,17.0,71.0
GrPftToAst,Gross Profit to Assets,Capital Efficiency,0.02958902006155717,1.378088871400621,1.4551906388982996,1.378088871400621,8.0,72.0
Chg1YEPS,1Y Chg in Earnings per Share,Historical Growth,0.026379806591347643,1.3653786300068738,1.3958870840097624,1.3653786300068738,22.0,73.0
DA,Debt to Assets Ratio,Capital Efficiency,0.019761015856442965,1.363249242742952,1.3910904568772964,1.363249242742952,9.0,74.0
CapExToAst,Capital Expenditure to Total Assets,Capital Efficiency,0.027394235205295825,1.348975207269452,1.517742432940713,1.348975207269452,10.0,75.0
SP,Sales to Price Ratio,Valuation,0.0399360364142074,1.3426408348511787,1.6462874541741004,1.3426408348511787,7.0,76.0
ChgDeprCapex,Change in TTM Depr. to Capex,Earnings Quality,0.018680907882969944,1.33594218827719,1.3252979086122914,1.33594218827719,18.0,77.0
PAdjChg3YFCF,3Y Chg in Free Cash Flow to Price,Historical Growth,0.016966061391138876,1.3234175916388993,1.5138947601304993,1.3234175916388993,23.0,78.0
CashAst,Cash to Total Assets,Valuation,0.021912268829147763,1.3136141526531826,1.4577080364928308,1.3136141526531826,8.0,79.0
Beta60M,60M CAPM Beta,Volatility,0.02163667376452194,1.310439187080003,1.4013841586523865,1.310439187080003,1.0,80.0
LTDA,Long Term Debt to Assets Ratio,Capital Efficiency,0.024044789866145777,1.2987886475285773,1.5132000361515987,1.2987886475285773,11.0,81.0
SGAToSalesChg1Y,Year over Year Change in SGA to Sales,Earnings Quality,0.016773738472993793,1.2706545046841098,1.2878489424666675,1.2706545046841098,19.0,82.0
GFP,Growth Flow to Price,Valuation,0.030419733497926815,1.2677575365247948,1.404417321774316,1.2677575365247948,9.0,83.0
AdjIntCov,Adjusted Interest Coverage Ratio,Capital Efficiency,0.01737955250163714,1.264414145183734,1.4411311306134535,1.264414145183734,12.0,84.0
EPSToSalesChg1Y,Year over Year Change of EPS to Sales,Earnings Quality,0.017945188497639375,1.255804163493003,1.3442450384211506,1.255804163493003,20.0,85.0
SGAToSales,SG&A to Sales,Earnings Quality,0.016691181083311024,1.247327242636362,1.2296201280369672,1.247327242636362,21.0,86.0
REToAst,Retained Earnings to Total Assets,Earnings Quality,0.02133453730825363,1.2456256177912066,1.344011535341101,1.2456256177912066,22.0,87.0
CurLiaP,Current Liability to Price,Valuation,0.03559702895023942,1.241890007988404,1.428834546953606,1.241890007988404,10.0,88.0
AstAdjChg3YEPS,3Y Chg in Asset Adjusted EPS,Historical Growth,0.021795504791380038,1.2407784916955555,1.2109073733995628,1.2407784916955555,24.0,89.0
IO_BreadthStabHD,Ownership Breadth Stability of Institution Ownership by Holders,Price Momentum,0.025702049169174845,1.233703762608205,1.3490015322085227,1.233703762608205,8.0,90.0
CFEqt,Cash Flow to Equity,Valuation,0.02459368432402531,1.2294570033934267,1.2100479616830273,1.2294570033934267,11.0,91.0
RskAdjRS,Risk Adjusted Relative Strength,Price Momentum,0.027803071390727574,1.2291447458514313,1.236598497502246,1.2291447458514313,9.0,92.0
DivperShareGrowth,Dividend per Share Growth,Historical Growth,0.019548246973578598,1.2271827097727273,1.0577012217952009,1.2271827097727273,25.0,93.0
WCA,Working Capital to Assets Ratio,Earnings Quality,0.023573159181084602,1.2214887636577083,1.6503167633274338,1.2214887636577083,23.0,94.0
BuyToSellRecLess3MSMA,Buy-to-Sell Recommendation Ratio Less 3M SMA,Analyst Expectations,0.015509216812388926,1.2197673139262015,1.336001639418857,1.2197673139262015,14.0,95.0
DIVIDENDGROWTH,Dividend Growth,Historical Growth,0.020367235867297495,1.2166071401167733,1.1171923706645162,1.2166071401167733,26.0,96.0
AccrualRatioCF,Accrual Ratio - Cash Flows,Earnings Quality,0.021011538900679305,1.2137201827748014,1.2988717088592543,1.2137201827748014,24.0,97.0
STO,Share Turnover,Price Momentum,0.03056938879025317,1.1718111266031213,1.4143589170836401,1.1718111266031213,10.0,98.0
InvToAstChg1Y,Year over Year Change of Inventory to Assets,Earnings Quality,0.018006321492590738,1.1651981308090311,1.2425207444664477,1.1651981308090311,25.0,99.0
PRatio15To36W,15/36 Week Price Ratio,Price Momentum,0.028970897290141018,1.1608627661716873,1.271540023423238,1.1608627661716873,11.0,100.0
AstAdjChg3YFCF,3Y Chg in Asset Adjusted Free Cash Flow,Historical Growth,0.015823849145819135,1.1520347539492362,1.146993035113556,1.1520347539492362,27.0,101.0
CACL,Current Ratio,Earnings Quality,0.017359925271243082,1.1514426341516815,1.5829530429688856,1.1514426341516815,26.0,102.0
CFAst,Cash Flow to Total Asset,Earnings Quality,0.021715502694833022,1.146767535192888,1.155955937504853,1.146767535192888,27.0,103.0
PTIToNOA,Pretax Income to Net Operating Assets,Earnings Quality,0.022427988583574754,1.1416178911379047,1.12770153654085,1.1416178911379047,28.0,104.0
CapExToSales,Capital Expenditure to Sales,Earnings Quality,0.017374305158533332,1.1379821746442345,1.0999007414213389,1.1379821746442345,29.0,105.0
TobinQ,Tobin's Q Ratio,Capital Efficiency,0.035265876156574505,1.1300245599465286,1.349739678856894,1.1300245599465286,13.0,106.0
NCAP,Net Current Assets to Price Ratio,Valuation,0.018017020117566007,1.1034434500432098,1.2582006561259556,1.1034434500432098,12.0,107.0
EbitdaToAst,EBITDA to Assets,Capital Efficiency,0.01827746807184827,1.1031067097023097,1.0866954915986897,1.1031067097023097,14.0,108.0
WCTurn,Working Capital Turnover Ratio,Capital Efficiency,0.01546890642673926,1.1005826447284195,1.1481905079281596,1.1005826447284195,15.0,109.0
CashRatio,Cash Ratio,Earnings Quality,0.013507960392461271,1.090256803900235,1.2895654710280633,1.090256803900235,30.0,110.0
PTMargin,Pretax Profit Margin,Capital Efficiency,0.021311964671413053,1.089691633452138,1.1615599539213237,1.089691633452138,16.0,111.0
SolvencyRatio,Solvency Ratio,Valuation,0.021120856858128256,1.077380059981419,1.1513488473796967,1.077380059981419,13.0,112.0
