,ddt,ticker,isin,gvkeyiid,sec,mp_ls_weight,ls_weight,factor_weight,factor,style,name,count,style_ls_weight
52,2026-08-31,002240 CH Equity,CNE100000BN6,28883501W,Materials,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
53,2026-08-31,002271 CH Equity,CNE100000CS3,28960801W,Materials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
54,2026-08-31,002304 CH Equity,CNE100000HB8,29301701W,Consumer Staples,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
55,2026-08-31,002311 CH Equity,CNE100000HP8,29316801W,Consumer Staples,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
56,2026-08-31,002340 CH Equity,CNE100000KT4,29372001W,Industrials,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
57,2026-08-31,002352 CH Equity,CNE100000L63,29381101W,Industrials,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
58,2026-08-31,002353 CH Equity,CNE100000L55,29381201W,Energy,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
59,2026-08-31,002409 CH Equity,CNE100000PG0,29458701W,Materials,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
60,2026-08-31,002422 CH Equity,CNE100000PW7,29476001W,Health Care,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
61,2026-08-31,002429 CH Equity,CNE100000Q50,29482001W,Consumer Discretionary,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
62,2026-08-31,002444 CH Equity,CNE100000RC5,29502601W,Consumer Discretionary,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
63,2026-08-31,002460 CH Equity,CNE100000SF6,29513601W,Materials,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
64,2026-08-31,002466 CH Equity,CNE100000T32,29524001W,Materials,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
