style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Capital Efficiency,Earnings Quality,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,MP
factor_weight,,,,,0.059073320426603355,0.12144838610526651,0.025572535022347066,0.06512687691246523,0.00949236008476596,0.22462604683583082,0.03682605618179807,0.22093656600974726,0.04,0.19689785242117552,0.9999999999999998
factor,,,,,Rev3MFY1C,RevMagFY1C,TobinQ,SalesToEPSChg,6MTTMSalesMom,SalesAcc,52WSlope,PM6M,CashEV,90DCV,AGG
87,2026-03-31,002180 CH Equity,CNE1000007W9,28706801W,,,,-0.018867924528301886,-0.01020408163265306,-0.013333333333333334,-0.011904761904761904,,,,-0.004759089204086659
88,2026-03-31,002185 CH Equity,CNE100000825,28719601W,-0.010752688172043012,-0.011627906976744186,,-0.018867924528301886,,,,,,,-0.003276196528290595
89,2026-03-31,002195 CH Equity,CNE1000008K2,28750701W,,,,-0.018867924528301886,,-0.013333333333333334,,,,0.009900990099009901,-0.002274339268821107
90,2026-03-31,002202 CH Equity,CNE1000008S5,28768401W,,,,,,0.012987012987012988,0.005813953488372093,,,0.009900990099009901,0.005080810052617846
91,2026-03-31,002223 CH Equity,CNE1000009X3,28865501W,,,,,,,0.005813953488372093,,,,0.00021410497780115158
92,2026-03-31,002230 CH Equity,CNE100000B81,28871001W,,-0.011627906976744186,,-0.018867924528301886,,,,,,,-0.0026409995344561506
93,2026-03-31,002236 CH Equity,CNE100000BJ4,28883901W,0.010638297872340425,0.011494252873563218,,,,,,,,-0.010101010101010102,3.5530843813003175e-05
94,2026-03-31,002241 CH Equity,CNE100000BP1,28883601W,,,,,,,,,,,0.0
95,2026-03-31,002252 CH Equity,CNE100000C31,28901601W,-0.010752688172043012,-0.011627906976744186,,,,,,,,,-0.0020473875299421946
96,2026-03-31,002261 CH Equity,CNE100000CF0,28918401W,,,-0.02631578947368421,-0.018867924528301886,-0.01020408163265306,,,,-0.02857142857142857,,-0.0031414884063535346
97,2026-03-31,002262 CH Equity,CNE100000CG8,28918501W,,,,,,,0.005813953488372093,,,,0.00021410497780115158
98,2026-03-31,002271 CH Equity,CNE100000CS3,28960801W,,,,-0.018867924528301886,,,,,,,-0.0012288089983484005
99,2026-03-31,002273 CH Equity,CNE100000CT1,28961001W,,,,,,,,,,-0.010101010101010102,-0.0019888671961734903
100,2026-03-31,002281 CH Equity,CNE100000F87,29246501W,,,,,,-0.013333333333333334,0.005813953488372093,,,,-0.002780908980009926
101,2026-03-31,002294 CH Equity,CNE100000FW8,29267501W,,,,,,,0.005813953488372093,,,,0.00021410497780115158
102,2026-03-31,002304 CH Equity,CNE100000HB8,29301701W,,,0.02564102564102564,0.01818181818181818,,0.012987012987012988,,,,0.009900990099009901,0.006706536135802816
103,2026-03-31,002311 CH Equity,CNE100000HP8,29316801W,,,,-0.018867924528301886,0.009900990099009901,0.012987012987012988,0.005813953488372093,,,,0.001996501130146578
104,2026-03-31,002340 CH Equity,CNE100000KT4,29372001W,-0.010752688172043012,-0.011627906976744186,,,,0.012987012987012988,,,,,0.0008698338575361275
105,2026-03-31,002352 CH Equity,CNE100000L63,29381101W,,,,,,,-0.011904761904761904,,,-0.010101010101010102,-0.0024272726269091815
106,2026-03-31,002353 CH Equity,CNE100000L55,29381201W,,,-0.02631578947368421,,0.009900990099009901,0.012987012987012988,0.005813953488372093,,,0.009900990099009901,0.004501832367876848
107,2026-03-31,002371 CH Equity,CNE100000ML7,29404201W,,,,,,,0.005813953488372093,,,,0.00021410497780115158
108,2026-03-31,002379 CH Equity,CNE100000MW4,29419701W,,,,0.01818181818181818,-0.01020408163265306,-0.013333333333333334,0.005813953488372093,,,,-0.0016936447624293206
109,2026-03-31,002384 CH Equity,CNE100000N79,29420401W,0.010638297872340425,0.011494252873563218,,0.01818181818181818,-0.01020408163265306,,0.005813953488372093,,,,0.003325767235368251
110,2026-03-31,002402 CH Equity,CNE100000P51,29447201W,,,,-0.018867924528301886,-0.01020408163265306,,0.005813953488372093,,,,-0.0011115648377387384
111,2026-03-31,002409 CH Equity,CNE100000PG0,29458701W,,,,,,-0.013333333333333334,0.005813953488372093,,,,-0.002780908980009926
112,2026-03-31,002414 CH Equity,CNE100000RK8,29459201W,0.010638297872340425,0.011494252873563218,,0.01818181818181818,0.009900990099009901,0.012987012987012988,,,,,0.006219728225452415
113,2026-03-31,002415 CH Equity,CNE100000PM8,29459401W,,,,,,,,,,-0.010101010101010102,-0.0019888671961734903
114,2026-03-31,002422 CH Equity,CNE100000PW7,29476001W,,,,,,,,,,,0.0
115,2026-03-31,002429 CH Equity,CNE100000Q50,29482001W,-0.010752688172043012,-0.011627906976744186,,,-0.01020408163265306,,,-0.03333333333333333,,0.009900990099009901,-0.0075593168601202215
116,2026-03-31,002430 CH Equity,CNE100000Q68,29482401W,,,,,,,,,,,0.0
117,2026-03-31,002444 CH Equity,CNE100000RC5,29502601W,,,,,-0.01020408163265306,,,,,0.009900990099009901,0.001852622870146882
118,2026-03-31,002456 CH Equity,CNE100000S33,29502901W,0.010638297872340425,0.011494252873563218,,-0.018867924528301886,,,-0.011904761904761904,,,,0.00035718361090240154
119,2026-03-31,002459 CH Equity,CNE100000SD1,33550301W,0.010638297872340425,,,0.01818181818181818,-0.01020408163265306,,-0.011904761904761904,,,,0.001277298365851333
120,2026-03-31,002460 CH Equity,CNE100000SF6,29513601W,,-0.011627906976744186,,0.01818181818181818,0.009900990099009901,,0.005813953488372093,,,-0.010101010101010102,-0.001908843956492489
121,2026-03-31,002463 CH Equity,CNE100000SP5,29513901W,0.010638297872340425,0.011494252873563218,,,,,0.005813953488372093,,,,0.002238503017787645
122,2026-03-31,002465 CH Equity,CNE100000T24,29523901W,-0.010752688172043012,-0.011627906976744186,,-0.018867924528301886,,,,,,0.009900990099009901,-0.001326712840952224
123,2026-03-31,002466 CH Equity,CNE100000T32,29524001W,-0.010752688172043012,-0.011627906976744186,,,0.009900990099009901,,0.005813953488372093,,,,-0.0017392987889255386
124,2026-03-31,002472 CH Equity,CNE100000TF4,29531901W,,,,,-0.01020408163265306,,,,-0.02857142857142857,,-0.0012397179600486324
125,2026-03-31,002475 CH Equity,CNE100000TP3,29532601W,,,,,,,0.005813953488372093,,,-0.010101010101010102,-0.0017747622183723387
126,2026-03-31,002493 CH Equity,CNE100000W60,29566201W,-0.010752688172043012,-0.011627906976744186,,0.01818181818181818,,,,,,,-0.0008632624951700998
127,2026-03-31,002517 CH Equity,CNE100000XB5,29586901W,,,,,-0.01020408163265306,,,,,,-9.686081719148938e-05
128,2026-03-31,002555 CH Equity,CNE1000010N2,29684401W,,,,-0.018867924528301886,-0.01020408163265306,,,,,,-0.00132566981553989
129,2026-03-31,002558 CH Equity,CNE1000010R3,29685501W,,-0.011627906976744186,,,0.009900990099009901,,,,,,-0.0013182067728922454
130,2026-03-31,002594 CH Equity,CNE100001526,25375902W,,,,,-0.01020408163265306,,,0.03225806451612903,,,0.007030125183122938
131,2026-03-31,002595 CH Equity,CNE1000014X3,29816201W,0.010638297872340425,0.011494252873563218,,,,,0.005813953488372093,,-0.02857142857142857,0.009900990099009901,0.0030451295622688735
132,2026-03-31,002600 CH Equity,CNE1000015L5,29835401W,,,,-0.018867924528301886,,,,,,,-0.0012288089983484005
133,2026-03-31,002601 CH Equity,CNE1000015M3,29835301W,,,,0.01818181818181818,,,,,,,0.001184125034772095
134,2026-03-31,002602 CH Equity,CNE1000015R2,29838701W,,0.011494252873563218,,-0.018867924528301886,,,,,,,0.0001671494626316742
135,2026-03-31,002603 CH Equity,CNE1000015S0,29838801W,,,,,,,0.005813953488372093,,,,0.00021410497780115158
136,2026-03-31,002625 CH Equity,CNE1000018P0,30758701W,,,,,0.009900990099009901,0.012987012987012988,0.005813953488372093,,-0.02857142857142857,,0.0020824529856378355
137,2026-03-31,002648 CH Equity,CNE100001B07,31141001W,-0.010752688172043012,,,,,-0.013333333333333334,-0.011904761904761904,,,,-0.004068616382381214
138,2026-03-31,002653 CH Equity,CNE100001BC7,31142801W,,,,,,,0.005813953488372093,,,,0.00021410497780115158
139,2026-03-31,002673 CH Equity,CNE100001D96,31254501W,,,,,,,,,,-0.010101010101010102,-0.0019888671961734903
140,2026-03-31,002709 CH Equity,CNE100001RG4,31698501W,0.010638297872340425,0.011494252873563218,,,0.009900990099009901,,0.005813953488372093,,,,0.0023324867810031497
141,2026-03-31,002714 CH Equity,CNE100001RQ3,31703401W,,,,-0.018867924528301886,,-0.013333333333333334,0.005813953488372093,,,-0.010101010101010102,-0.005998585174531817
142,2026-03-31,002736 CH Equity,CNE100001WS9,31897501W,,,,,0.009900990099009901,,,,,,9.398376321550456e-05
143,2026-03-31,002738 CH Equity,CNE100001WV3,31888101W,,,,0.01818181818181818,0.009900990099009901,0.012987012987012988,0.005813953488372093,,,0.009900990099009901,0.0063589188506054444
144,2026-03-31,002739 CH Equity,CNE100001WW1,31906401W,,0.011494252873563218,,0.01818181818181818,,,,,,-0.010101010101010102,0.0005912162995786794
145,2026-03-31,002797 CH Equity,CNE1000027G0,32163001W,,,-0.02631578947368421,,-0.01020408163265306,,,,,,-0.0007698222651479911
146,2026-03-31,002812 CH Equity,CNE100002BR3,32245801W,,-0.011627906976744186,,-0.018867924528301886,0.009900990099009901,0.012987012987012988,0.005813953488372093,,,,0.0005843105940388278
147,2026-03-31,002821 CH Equity,CNE100002BZ6,32287801W,,,,,,,0.005813953488372093,,,,0.00021410497780115158
148,2026-03-31,002837 CH Equity,CNE100002CC3,32320601W,,0.011494252873563218,,,,,0.005813953488372093,,-0.02857142857142857,0.009900990099009901,0.0024166899832624546
149,2026-03-31,002841 CH Equity,CNE100002K47,32331001W,,,,0.01818181818181818,,,,,,-0.010101010101010102,-0.0008047421614013953
150,2026-03-31,002850 CH Equity,CNE100002JW6,32358701W,,,,,,,,-0.03333333333333333,,,-0.0073645522003249085
151,2026-03-31,002851 CH Equity,CNE100002JV8,32364201W,-0.010752688172043012,-0.011627906976744186,,,-0.01020408163265306,,0.005813953488372093,,-0.02857142857142857,0.009900990099009901,-0.0011235168248513042
152,2026-03-31,002916 CH Equity,CNE100003373,32619401W,,,,,,,0.005813953488372093,,,,0.00021410497780115158
153,2026-03-31,002920 CH Equity,CNE1000033C7,32628001W,,,-0.02631578947368421,,,,,,,,-0.0006729614479565018
154,2026-03-31,002938 CH Equity,CNE100003GF5,32858301W,0.010638297872340425,0.011494252873563218,,,,,0.005813953488372093,,,,0.002238503017787645
155,2026-03-31,002939 CH Equity,CNE100003GD0,32829201W,,,,,,,,0.03225806451612903,,,0.007126986000314427
156,2026-03-31,002966 CH Equity,CNE100003LQ2,33262701W,,,,,-0.01020408163265306,,,,,-0.010101010101010102,-0.0020857280133649795
157,2026-03-31,300001 CH Equity,CNE100000H69,29280201W,,,,,0.009900990099009901,-0.013333333333333334,,,,,-0.0029010301945955734
158,2026-03-31,300003 CH Equity,CNE100000H44,29280401W,,,,,,,0.005813953488372093,,,,0.00021410497780115158
159,2026-03-31,300012 CH Equity,CNE100000GV8,29284301W,,,,,,,,,-0.02857142857142857,,-0.001142857142857143
160,2026-03-31,300014 CH Equity,CNE100000GS4,29284501W,,,,,0.009900990099009901,0.012987012987012988,0.005813953488372093,,,,0.0032253101284949784
161,2026-03-31,300015 CH Equity,CNE100000GR6,29284601W,0.010638297872340425,0.011494252873563218,,,,,,,,,0.0020243980399864935
162,2026-03-31,300017 CH Equity,CNE100000GQ8,29284801W,,,,,,-0.013333333333333334,,,,0.009900990099009901,-0.0010455302704727063
163,2026-03-31,300033 CH Equity,CNE100000JG3,29351501W,,,-0.02631578947368421,,,,,,,0.009900990099009901,0.0012765222393818698
164,2026-03-31,300037 CH Equity,CNE100000K15,29360601W,0.010638297872340425,0.011494252873563218,,,,,0.005813953488372093,,,,0.002238503017787645
165,2026-03-31,300054 CH Equity,CNE100000LM7,29382201W,,,,,,,0.005813953488372093,,,,0.00021410497780115158
166,2026-03-31,300058 CH Equity,CNE100000LV8,29404601W,,,,0.01818181818181818,0.009900990099009901,,,-0.03333333333333333,-0.02857142857142857,0.009900990099009901,-0.00527981685785608
167,2026-03-31,300059 CH Equity,CNE100000MD4,29421201W,,,-0.02631578947368421,,0.009900990099009901,,,0.03225806451612903,,,0.00654800831557343
168,2026-03-31,300115 CH Equity,CNE100000T40,29524801W,,,,0.01818181818181818,,,,,,,0.001184125034772095
169,2026-03-31,300122 CH Equity,CNE100000V20,29534401W,-0.010752688172043012,-0.011627906976744186,,,,,,,,,-0.0020473875299421946
170,2026-03-31,300124 CH Equity,CNE100000V46,29534601W,,,,,,,0.005813953488372093,,,,0.00021410497780115158
171,2026-03-31,300136 CH Equity,CNE100000W94,29568001W,,,,,,,0.005813953488372093,,,0.009900990099009901,0.002163588665139523
172,2026-03-31,300144 CH Equity,CNE100000XG4,29598201W,,,,,-0.01020408163265306,,,,,,-9.686081719148938e-05
