factorAbbreviation,factorName,styleName,cagr,rank_style,rank_total,tstat,newey_west_tstat
FCFEV,Free Cash Flow to Enterprise Value,Valuation,0.02866183804389366,24.0,129.0,1.9229783067612416,1.911185870868921
ETO,Equity Turnover,Earnings Quality,0.028632047392638693,18.0,130.0,2.1032434684835377,2.1522487327966897
PAdjChg1YOCF,1Y Chg in Operating Cash Flow to Price,Historical Growth,0.028559955475028875,25.0,131.0,2.0284586346305664,2.2036807474491544
InvToAsset,Asset Adjusted Capital Investments,Earnings Quality,0.028139210324180874,19.0,132.0,1.2503403308049943,1.414631663437266
AnnVol12M,12M Realized Price Volatility,Volatility,0.028028102697732038,4.0,133.0,0.9851508154819693,0.9279377343582124
Beta60M,60M CAPM Beta,Volatility,0.027946383183989232,5.0,134.0,2.0361583968021812,2.117911964360545
FY2OverFY1Growth,Expected Earnings Growth: Fiscal Year 2/Fiscal Year 1,Historical Growth,0.027821631163814864,26.0,135.0,1.5180436173340486,1.4363243745240029
EPSToSalesChg1Y,Year over Year Change of EPS to Sales,Earnings Quality,0.027366192268970968,20.0,136.0,1.8202983635774361,1.9479534184322804
CashAst,Cash to Total Assets,Valuation,0.027331359087204188,25.0,137.0,1.664341767224821,1.8042385023920098
3YAvgAnnEPSGrw,3Y Average Annual Earnings Growth,Historical Growth,0.02722223108269195,27.0,138.0,1.4717440567461013,1.3928323178966182
EP,Earnings to Price,Valuation,0.027189477890109615,26.0,139.0,1.0497429624373733,1.0978256284369068
PTMargin,Pretax Profit Margin,Capital Efficiency,0.02700617611030398,12.0,140.0,1.5763602262810468,1.6177179479990849
DepToCapex,Depreciation to Capex Ratio,Earnings Quality,0.026959758972877612,21.0,141.0,1.8311644289631754,2.078995402439044
FwdFCFPC,Forward Free Cash Flow to Price Ratio,Valuation,0.02694473994856228,27.0,142.0,1.411776625020708,1.4412910437373128
52WVPT20DLag,52-Week Volume Price Trend with 20-Day Lag,Price Momentum,0.02652808179144417,36.0,143.0,1.2249166893342274,1.3016230723908457
SGAToSalesChg1Y,Year over Year Change in SGA to Sales,Earnings Quality,0.02633763932613009,22.0,144.0,1.9270067619657394,1.9381071958919402
AdjEBITP,Adjusted EBIT to Price,Valuation,0.025944865493129354,28.0,145.0,1.0642992256099428,1.2018978064236576
InvToAstChg1Y,Year over Year Change of Inventory to Assets,Earnings Quality,0.02593641783491485,23.0,146.0,1.7438330643829933,1.7378903101856187
PTIP,Pretax Income Per Share to Price,Valuation,0.025910814679782623,29.0,147.0,1.1218611203455273,1.201313474699057
CashBurn,Cash Burn Rate,Earnings Quality,0.025569901913509163,24.0,148.0,1.5664038318521913,1.593706302999376
PTIToNOA,Pretax Income to Net Operating Assets,Earnings Quality,0.025531693096782604,25.0,149.0,1.2580119903899771,1.2510516235513094
AdjSTO_6M,Adjusted 6 Month Average Share Turn Over,Price Momentum,0.02548936908032373,37.0,150.0,1.0404414420738055,1.156715987927415
CFAst,Cash Flow to Total Asset,Earnings Quality,0.025476804941652498,26.0,151.0,1.3162398418687373,1.291961102361973
Chg3YAstTo,3Y Chg in Sales Turnover,Historical Growth,0.025421022468953725,28.0,152.0,1.8235553313923207,1.9648077118028193
REToAst,Retained Earnings to Total Assets,Earnings Quality,0.025416427867053004,27.0,153.0,1.4584368500267617,1.543171972618378
WCA,Working Capital to Assets Ratio,Earnings Quality,0.02478826546243229,28.0,154.0,1.2958651863312822,1.7139810039821353
OEP,Operating Earnings to Price Ratio,Valuation,0.024694022328592302,30.0,155.0,0.9778851532199402,1.023806186346967
NCAP,Net Current Assets to Price Ratio,Valuation,0.024625467010211732,31.0,156.0,1.4469345110838197,1.6425434640334504
SolvencyRatio,Solvency Ratio,Valuation,0.024581353355121127,32.0,157.0,1.2192264425302701,1.3148442291339633
LogUnadjPrice,Log of Unadjusted Stock Price,Price Momentum,0.02440438681681667,38.0,158.0,0.9690272159577548,0.9822628006108629
TTMRecInvToSales,Trailing 12-Month Receivables and Inventories/Trailing 12-Month Sales,Historical Growth,0.024015686207085274,29.0,159.0,1.0494376323275787,1.1904649518831965
LogMktCapCubed,Log of Market Capitalization Cubed,Size,0.02390845323382318,1.0,160.0,1.0465727910738463,1.0378852024044618
ROE,Return on Equity,Capital Efficiency,0.023430973351977524,13.0,161.0,1.2387960355305805,1.26185591826664
DA,Debt to Assets Ratio,Capital Efficiency,0.022982730998602374,14.0,162.0,1.5570698229106106,1.5726531865944446
Chg3YCF,3Y Chg in Cash Flow per Share,Historical Growth,0.022964030370611788,30.0,163.0,1.0288989542914224,0.9916053277579786
3YAvgAnnSalesGrw,3Y Average Annual Sales Growth,Historical Growth,0.022902117882351414,31.0,164.0,0.9877364395168626,0.9969524719619762
IO_BreadthStabBY,Ownership Breadth Stability of Institution Ownership by Buyers,Price Momentum,0.022459494730638463,39.0,165.0,1.215678192588637,1.292297530910456
ROA,Return on Assets,Capital Efficiency,0.022210717232270527,15.0,166.5,1.1692422703946346,1.1766706044504631
OEA,Operating Earnings to Assets Ratio,Earnings Quality,0.022210717232270527,29.0,166.5,1.1692422703946346,1.1766706044504631
AstAdjChg3YEPS,3Y Chg in Asset Adjusted EPS,Historical Growth,0.022195131176752314,32.0,168.0,0.9256510166535329,0.8223415718763721
IO_Foreign,Foreign Institution Ownership,Price Momentum,0.02206563569291875,40.0,169.0,1.1429465590572618,1.1740553803540699
LogMktCap,Log Market Cap,Size,0.02177818020832789,2.0,170.0,0.976098441749515,0.9744853957339294
RONA,Return on Net Tangible Assets,Valuation,0.02159317904050928,33.0,171.0,1.0239076965435883,0.995449481543884
CFIC,Cash Flow to Invested Capital,Earnings Quality,0.021586960496275953,30.0,172.0,1.1970880600073335,1.1594164181204125
PAdjChg3YCF,3Y Chg in Cash Flow to Price,Historical Growth,0.021492206703526362,33.0,173.0,1.214273830261355,1.259301429915296
Alpha36M6MPChg,6M Chg in 36M CAPM Alpha,Price Momentum,0.021479805934057294,41.0,174.0,1.4585606917850618,1.442802292320391
EPSToOCFChg,1Y Chg in EPS to Operating Cash Flow,Earnings Quality,0.021447498859265002,31.0,175.0,1.5933968619404641,1.7748721573218087
IO_Level_AM,Institution Ownership Level - Active Manager,Price Momentum,0.02104016108403739,42.0,176.0,1.0157938529230923,0.9764040270723363
CapExToSales,Capital Expenditure to Sales,Earnings Quality,0.02088789354303966,32.0,177.0,1.373529077807925,1.3551856516452414
ChgDeprCapex,Change in TTM Depr. to Capex,Earnings Quality,0.020857877520221058,33.0,178.0,1.543751550976263,1.679808672221798
PAdjChg1YFCF,1Y Chg in Free Cash Flow to Price,Historical Growth,0.020857437738744045,34.0,179.0,1.638044988350245,1.60306252471672
SalesToEPSChg,1Y Chg in Sales to Earnings,Earnings Quality,0.02067452452750329,34.0,180.0,0.9825908296020959,1.1740858315619735
FinLev,Degree of Financial Leverage,Capital Efficiency,0.020643641667332346,16.0,181.0,1.3383183392010352,1.3417901466180167
WCapToAst,Working Capital to Total Assets,Earnings Quality,0.020138123471024283,35.0,182.0,1.0418384547569417,1.3994338891130649
IO_ChgofIO_AM,Change of Ownership Level - All Managers,Price Momentum,0.020039217691987465,43.0,183.0,1.7430819766834558,1.6722665684415081
