style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Capital Efficiency,Earnings Quality,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,MP
factor_weight,,,,,0.021621521816389294,0.20431602944049673,0.049936965510287146,0.09875848294333273,0.24346249417352991,0.024010934147244627,0.20767050160349557,0.14737045318156372,0.0028526171836602172,1.0
factor,,,,,Rev3MFY2C,RevMagFY1C,TobinQ,FCFSales,SalesAcc,52WSlope,PM6M,FwdEPC,90DCV,AGG
71,2025-11-30,002080 CH Equity,CNE000001P78,27944101W,0.011904761904761904,0.012048192771084338,,,0.006211180124223602,0.006172839506172839,,,0.010416666666666666,0.004409157788182931
72,2025-11-30,002085 CH Equity,CNE000001PF1,27964001W,,,,,,,,,,0.0
73,2025-11-30,002128 CH Equity,CNE100000098,28433601W,,,,,,0.006172839506172839,,0.09090909090909091,,0.01354552956848093
74,2025-11-30,002129 CH Equity,CNE1000000B8,28433701W,0.011904761904761904,,,-0.014084507042253521,0.006211180124223602,-0.012345679012345678,,,,8.219263978116709e-05
75,2025-11-30,002138 CH Equity,CNE1000000M5,28503801W,,,,,,,,,,0.0
76,2025-11-30,002142 CH Equity,CNE1000005P7,28587701W,,,,0.013888888888888888,,,,,-0.010752688172043012,0.0013409722933850668
77,2025-11-30,002152 CH Equity,CNE100000650,28574301W,,,,0.013888888888888888,,,,,-0.010752688172043012,0.0013409722933850668
78,2025-11-30,002156 CH Equity,CNE1000006C3,28580401W,,0.012048192771084338,,,0.006211180124223602,,,,0.010416666666666666,0.004003543076055975
79,2025-11-30,002157 CH Equity,CNE1000006H2,28583101W,,,,,0.006211180124223602,,,,,0.0015121894048045336
80,2025-11-30,002179 CH Equity,CNE1000007T5,28706701W,,,,-0.014084507042253521,-0.012345679012345678,,,,-0.010752688172043012,-0.0044273476561592345
81,2025-11-30,002180 CH Equity,CNE1000007W9,28706801W,-0.012048192771084338,,,,-0.012345679012345678,-0.012345679012345678,,,-0.010752688172043012,-0.0035933146562781063
82,2025-11-30,002185 CH Equity,CNE100000825,28719601W,,0.012048192771084338,,-0.014084507042253521,,,,,,0.0010706743604240036
83,2025-11-30,002202 CH Equity,CNE1000008S5,28768401W,0.011904761904761904,0.012048192771084338,,,0.006211180124223602,0.006172839506172839,,,0.010416666666666666,0.004409157788182931
84,2025-11-30,002223 CH Equity,CNE1000009X3,28865501W,,,,,,,,,,0.0
85,2025-11-30,002230 CH Equity,CNE100000B81,28871001W,,,,,,,,,-0.010752688172043012,-3.0673303050109864e-05
86,2025-11-30,002236 CH Equity,CNE100000BJ4,28883901W,0.011904761904761904,0.012048192771084338,,,,,,,,0.0027190379781643773
87,2025-11-30,002241 CH Equity,CNE100000BP1,28883601W,0.011904761904761904,,,,,,,,,0.00025739906924272967
88,2025-11-30,002252 CH Equity,CNE100000C31,28901601W,,,,,0.006211180124223602,,,,,0.0015121894048045336
89,2025-11-30,002261 CH Equity,CNE100000CF0,28918401W,,,-0.043478260869565216,0.013888888888888888,,,,,,-0.0007995268170555687
90,2025-11-30,002262 CH Equity,CNE100000CG8,28918501W,,,,,,,,,,0.0
91,2025-11-30,002271 CH Equity,CNE100000CS3,28960801W,,-0.012345679012345678,,,0.006211180124223602,-0.012345679012345678,,,,-0.001306661997513261
92,2025-11-30,002273 CH Equity,CNE100000CT1,28961001W,,,,,,,,,,0.0
93,2025-11-30,002281 CH Equity,CNE100000F87,29246501W,,,,,-0.012345679012345678,0.006172839506172839,,,,-0.0028574941617272543
94,2025-11-30,002294 CH Equity,CNE100000FW8,29267501W,,,,,0.006211180124223602,0.006172839506172839,,,,0.0016604050476887596
95,2025-11-30,002304 CH Equity,CNE100000HB8,29301701W,-0.012048192771084338,,,-0.014084507042253521,0.006211180124223602,-0.012345679012345678,,,,-0.00043570669230962635
96,2025-11-30,002311 CH Equity,CNE100000HP8,29316801W,,,,,0.006211180124223602,0.006172839506172839,,,,0.0016604050476887596
97,2025-11-30,002340 CH Equity,CNE100000KT4,29372001W,,,,-0.014084507042253521,0.006211180124223602,,,,,0.00012122485630688962
98,2025-11-30,002352 CH Equity,CNE100000L63,29381101W,,,,,,0.006172839506172839,,,,0.0001482156428842261
