style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,Volatility,MP
factor_weight,,,,,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,1.0
factor,,,,,6MChgTgtPrcGapEMA,EPSNumRevFY1C,Rev3MFY1C,Rev3MFY2C,RevMagFY1C,AdjIntCov,IntCovRatio,ShareChg,AdjAccruals,AssetTurn,CapExToSales,DepToCapex,ETO,InvToAsset,InvToAstChg1Y,ROAStddev20Q,ROEStddev20Q,SalesToEPSChg,SalesToInvCap,UnexpectedRecChg,3YAvgAnnSalesGrw,DIVIDENDGROWTH,DivperShareGrowth,50DVolSig,STO_6M,OCFEV,90DCV,Beta60M,AGG
75,2026-06-30,002056 CH Equity,CNE000001N70,27823101W,,,-0.010638297872340425,-0.010526315789473684,,,,,,0.006578947368421052,,,,,,,,,0.0031847133757961785,,0.005319148936170213,0.017857142857142856,0.01282051282051282,,0.003355704697986577,0.0064516129032258064,-0.005154639175257732,-0.009900990099009901,0.0006526539904149043
76,2026-06-30,002064 CH Equity,CNE000001NK6,27844801W,0.014285714285714285,,,,,,,,,,,,,,,-0.011627906976744186,-0.011627906976744186,,,,,,,,,,-0.005154639175257732,0.0025,6.070989633128035e-05
77,2026-06-30,002074 CH Equity,CNE000001NY7,27918201W,0.014285714285714285,,,,,,,-0.012048192771084338,0.008771929824561403,-0.013157894736842105,,,0.007575757575757576,,-0.027777777777777776,,,,0.0031847133757961785,0.010101010101010102,,,,,0.003355704697986577,,-0.005154639175257732,0.0025,-9.771778088950379e-05
78,2026-06-30,002078 CH Equity,CNE000001P52,27939301W,,-0.010869565217391304,-0.010638297872340425,-0.010526315789473684,,,,,,,,,,,,0.011627906976744186,0.011627906976744186,,,,,,,,,,-0.005154639175257732,-0.009900990099009901,-0.0017228374876023002
79,2026-06-30,002080 CH Equity,CNE000001P78,27944101W,-0.007633587786259542,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0025,0.00022811300113694633
80,2026-06-30,002085 CH Equity,CNE000001PF1,27964001W,,,,,,0.011494252873563218,0.015873015873015872,,,0.006578947368421052,,0.0125,0.007575757575757576,,,,,-0.06666666666666667,0.0031847133757961785,,,,,,0.003355704697986577,,,0.0025,0.0007900913320734662
81,2026-06-30,002128 CH Equity,CNE100000098,28433601W,,,,,,,,,,,,,,,,,,,,,0.005319148936170213,,0.01282051282051282,,0.003355704697986577,,-0.005154639175257732,0.0025,0.0008831588148604368
82,2026-06-30,002129 CH Equity,CNE1000000B8,28433701W,,-0.010869565217391304,-0.010638297872340425,-0.010526315789473684,-0.00980392156862745,,,,,-0.013157894736842105,,,,,,-0.011627906976744186,-0.011627906976744186,,0.0031847133757961785,,-0.020833333333333332,-0.017857142857142856,-0.02564102564102564,,0.003355704697986577,,-0.005154639175257732,-0.009900990099009901,-0.006217403728012534
83,2026-06-30,002131 CH Equity,CNE1000000F9,28434001W,,,,,,,,0.02127659574468085,-0.017241379310344827,,0.037037037037037035,,,0.058823529411764705,,,,-0.06666666666666667,,-0.02,-0.020833333333333332,,,,,-0.01282051282051282,0.01,0.0025,-0.00016190209562529936
84,2026-06-30,002138 CH Equity,CNE1000000M5,28503801W,,,,,,0.011494252873563218,0.015873015873015872,,,,,,,,,,,,0.0031847133757961785,,0.005319148936170213,,0.01282051282051282,,0.003355704697986577,0.0064516129032258064,-0.005154639175257732,0.0025,0.0025347666537435306
85,2026-06-30,002142 CH Equity,CNE1000005P7,28587701W,,,,,,,,,,,,-0.02564102564102564,0.007575757575757576,,,,,,0.0031847133757961785,,,,,,,,-0.005154639175257732,0.0025,-0.00043444801946225335
