style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Price Momentum,Valuation,Valuation,Volatility,Volatility,MP
factor_weight,,,,,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,1.0
factor,,,,,6MChgTgtPrcGapEMA,EPSEstDispFY1C,EPSNumRevFY1C,Rev3MFY1C,Rev3MFY2C,RevMagFY1C,AdjIntCov,IntCovRatio,ShareChg,AdjAccruals,AssetTurn,CapExToSales,DepToCapex,ETO,InvToAsset,InvToAstChg1Y,SalesToEPSChg,SalesToInvCap,UnexpectedRecChg,3YAvgAnnSalesGrw,DIVIDENDGROWTH,DivperShareGrowth,50DVolSig,STO,STO_6M,InvPEGYC,OCFEV,90DCV,Beta60M,AGG
53,2026-05-31,000932 CH Equity,CNE000001006,25133201W,,0.003968253968253968,-0.012195121951219513,-0.010752688172043012,,-0.009900990099009901,,,0.013157894736842105,,,,,,,,,,,,,,,0.003278688524590164,,,,-0.005291005291005291,-0.01,-0.0010948012219152885
54,2026-05-31,000933 CH Equity,CNE000001097,26000301W,0.014285714285714285,-0.011235955056179775,0.012345679012345678,0.010752688172043012,0.010638297872340425,0.009900990099009901,-0.015625,-0.016666666666666666,0.013157894736842105,,,,,,,,,,,,,,,,,0.015384615384615385,,-0.005291005291005291,0.002564102564102564,0.0015872901047737635
55,2026-05-31,000938 CH Equity,CNE0000010T1,26022301W,,0.003968253968253968,,,,,,,,,0.006756756756756757,,,,,,,0.004366812227074236,,,,,,-0.00980392156862745,,,,-0.005291005291005291,0.002564102564102564,-5.990680367533549e-05
56,2026-05-31,000960 CH Equity,CNE0000011D3,27024101W,-0.007633587786259542,0.003968253968253968,,,,,0.015384615384615385,0.01639344262295082,,,,,,,,,,,,,,,,-0.00980392156862745,,,,0.01020408163265306,0.002564102564102564,0.0012267229871533592
57,2026-05-31,000963 CH Equity,CNE0000011S1,26000801W,0.014285714285714285,,,,,,,,,,,0.01020408163265306,,,,,,,0.010101010101010102,,,,,0.003278688524590164,-0.022727272727272728,,0.006622516556291391,,0.002564102564102564,0.0006664596952238734
58,2026-05-31,000975 CH Equity,CNE0000012L4,27115501W,0.014285714285714285,0.003968253968253968,,0.010752688172043012,0.010638297872340425,0.009900990099009901,-0.015625,-0.016666666666666666,,,,,,,,,,,,,,,,0.003278688524590164,,,,,0.002564102564102564,0.0009117262694360892
59,2026-05-31,000977 CH Equity,CNE0000012M2,27213901W,,0.003968253968253968,,,,,,,,,0.006756756756756757,,,,,,,0.004366812227074236,,,,,,-0.00980392156862745,-0.022727272727272728,,-0.013333333333333334,-0.005291005291005291,0.002564102564102564,-0.0014833515747124091
60,2026-05-31,000981 CH Equity,CNE000001352,27215701W,,,,,,,,,,-0.017543859649122806,-0.0136986301369863,,0.0125,,0.058823529411764705,,0.0625,,,,-0.018867924528301886,,,-0.00980392156862745,,,-0.013333333333333334,0.01020408163265306,0.002564102564102564,0.0014104353479878371
61,2026-05-31,000983 CH Equity,CNE0000013Y5,25137101W,-0.007633587786259542,,,,,,,,,,,,,,,,,,,-0.1,,-0.02702702702702703,,,,,,-0.005291005291005291,0.002564102564102564,-0.005423190700668438
62,2026-05-31,000988 CH Equity,CNE000001303,25900801W,,0.003968253968253968,,,,,,,0.013157894736842105,,0.006756756756756757,,,,,,,0.004366812227074236,,,,0.013513513513513514,,-0.00980392156862745,,,,0.01020408163265306,0.002564102564102564,0.0016045598713309976
