factorId,factorAbbreviation,factorName,factorShortName,styleName,factorOrder
534,ROA60MSlope,ROA 60 Month Slope,ROA60MSlope,Earnings Quality,0
535,SharpeRatio,Sharpe Ratio,Sharpe Ratio,Price Momentum,1
536,IO_TO,Institution Ownership Turnover,IO Turnover,Price Momentum,1
537,IO_Concentration,Institution Ownership Concentration,Ownership Concentration,Price Momentum,1
538,IO_BreadthStabBY,Ownership Breadth Stability of Institution Ownership by Buyers,IO Breadth Stab - Buyers,Price Momentum,0
539,IO_Level,Institution Ownership Level,IO Level,Price Momentum,0
540,IO_Foreign,Foreign Institution Ownership,Foreign Ownership,Price Momentum,0
541,IO_ChgofIO_AM,Change of Ownership Level - All Managers,Chg of IO Level - All,Price Momentum,0
542,IO_ChgofIO_HF,Change of Ownership Level - Hedge Fund,Chg of IO - HF,Price Momentum,0
543,IO_StabofChgHD,Stability of Change in Number of Holders,Stab of Chg in Num HD,Price Momentum,0
544,IO_InvDuration,Investment Duration,Investment Duration,Price Momentum,0
545,IO_Level_AM,Institution Ownership Level - Active Manager,IO Level - Active,Price Momentum,0
546,IO_ChgofNumHD,Change in Number of Holders,ChginNumHolder,Price Momentum,0
547,IO_ChgofNumBY,Change in Number of Buyers,ChginNumBuyers,Price Momentum,0
548,IO_BreadthStabHD,Ownership Breadth Stability of Institution Ownership by Holders,IOBreadStab_Holders,Price Momentum,0
549,GrPftToAst,Gross Profit to Assets,Gross Profit / Assets,Capital Efficiency,0
550,EbitdaToAst,EBITDA to Assets,EBITDA / Assets,Capital Efficiency,0
551,EbitToAst,EBIT to Assets,EBIT / Assets,Capital Efficiency,0
552,AstGrwth,Asset Growth - 1 Year,Asset Growth YoY,Capital Efficiency,1
553,IO_NAT,Net Arbitrage Trading,Net Arbitrage Trading,Price Momentum,0
554,BNK_LossAbsorpPowerS,Loss Absorption Power,BNK_LossAbsorpPower,Capital Efficiency,1
555,BNK_LoanLossIndS,Loan Loss Indicator,Bank: Loan Loss Indicator,Earnings Quality,1
556,BNK_LoanFundS,Loan Funding,Bank: Loan Funding,Capital Efficiency,1
557,BNK_YoYChg30DLTLS,1YChg30DLoanDue/TotLoan,Bank: YoY Chg 30D LD/TL,Earnings Quality,1
558,BNK_ProbLoansS,Problem Loan Ratio,Bank: Problem Loan Ratio,Earnings Quality,1
559,BNK_TBVPS,Tangible Book Value/Price,Bank: Tangible BV/Price,Valuation,0
560,BNK_NonPerAstEAS,Non-Perf Asts / Earn Asts,Bank: N-P Asts/Earn Asts,Earnings Quality,1
561,BNK_TexasRatioS,Texas Ratio,Bank: Texas Ratio,Capital Efficiency,1
562,BNK_Tier1CapS,Tier 1 Capital Ratio,Bank: Tier1 Capital Ratio,Capital Efficiency,0
563,BNK_LnDiverseS,Loan Diversity,Bank: Loan Diversity,Earnings Quality,1
564,BNK_OpIncAstS,Adj Op Income / Tot Asset,Bank: Adj Op Inc/Tot Asts,Earnings Quality,0
565,BNK_DepCostS,Deposit Cost,Bank: Deposit Cost,Capital Efficiency,1
566,BNK_CoreDepMixS,Core Deposit Mix,Bank: Core Deposit Mix,Capital Efficiency,0
567,BNK_ProvRateS,Provision Rate,Bank: Provistion Rate,Earnings Quality,1
568,BNK_PPPPS,PreProvision Profit/Price,Bank: PreProv Prft/Price,Valuation,0
569,BNK_CostEffS,Cost Efficiency,Bank: Cost Efficiency,Earnings Quality,1
570,BNK_DemandDepMixS,Demand Deposit Mix,Bank: Demand Deposit Mix,Capital Efficiency,0
571,BNK_TimeDepMixS,Time Deposit Mix,Bank: Time Deposit Mix,Capital Efficiency,1
572,BNK_PPPEAS,PreProv Profit/Earn Asts,Bank: PreProf Prft/ErnAst,Capital Efficiency,0
573,BNK_PPPAS,PreProv Profit/Assets,Bank: PreProf Profit/Asts,Capital Efficiency,0
574,BNK_ROTCES,Return on Tang Comm Eqty,Bank: Rtrn on Tang Com Eq,Capital Efficiency,0
575,AdjEBITP,Adjusted EBIT to Price,AdjEBITP,Valuation,0
576,AdjSTO_6M,Adjusted 6 Month Average Share Turn Over,AdjSTO_6M,Price Momentum,1
577,Chg1YTurnover,1Y Chg in Share Turnover,1YChg Turnover,Price Momentum,0
578,Amihud,Amihud Illiquidity Measure,Amihud Measure,Volatility,1
579,Chg1YAmihud,1Y Chg in Amihud,1YChg Amihud,Volatility,1
580,BuyToSellRecLess3MEMA,Buy-to-Sell Recommendation Ratio Less 3M EMA,BuyToSell Rec Less 3M EMA,Analyst Expectations,0
581,BuyToSellRecLess3MSMA,Buy-to-Sell Recommendation Ratio Less 3M SMA,BuyToSell Rec Less 3M SMA,Analyst Expectations,0
582,6MChgTgtPrcGapEMA,Target Price Gap to 6M EMA,Tgt Prc Gap to 6M EMA,Analyst Expectations,0
583,6MChgTgtPrc,6M Chg in Target Price,6M Chg in Tgt Prc,Analyst Expectations,0
584,6MChgTgtPrcGap,6M Chg in Target Price Gap,6M Chg in Tgt Prc Gap,Analyst Expectations,0
585,RevEstDisp,Revenue Estimate Dispersion,Revenue Est Disp,Analyst Expectations,1
586,EBITEstDisp,EBIT Estimate Dispersion,EBIT Est Disp,Analyst Expectations,1
