,index,factorName,styleName,cagr,rank_style,rank_total
47,Chg1YFCF,1Y Chg in Free Cash Flow per Share,Historical Growth,0.059635790194700666,6.0,51.0
48,Chg1YOCF,1Y Chg in Operating Cash Flow per Share,Historical Growth,0.08241052474295807,4.0,16.0
49,Chg1YOPM,1Y Chg in Operating Margin,Historical Growth,0.027267405236277797,28.0,176.0
50,PAdjChg1YCF,1Y Chg in Cash Flow to Price,Historical Growth,0.04976201777530154,11.0,75.0
51,PAdjChg1YEPS,1Y Chg in Earnings to Price,Historical Growth,0.04193051048922758,16.0,105.0
52,PAdjChg1YFCF,1Y Chg in Free Cash Flow to Price,Historical Growth,0.023917542978018957,32.0,195.0
53,PAdjChg1YOCF,1Y Chg in Operating Cash Flow to Price,Historical Growth,0.03748258740786281,19.0,131.0
54,AstAdjChg3YCF,3Y Chg in Asset Adjusted Cash Flow,Historical Growth,0.0206465412079615,34.0,200.0
55,AstAdjChg3YEPS,3Y Chg in Asset Adjusted EPS,Historical Growth,0.004131889466807648,42.0,237.0
56,AstAdjChg3YFCF,3Y Chg in Asset Adjusted Free Cash Flow,Historical Growth,0.05568315220934128,8.0,59.0
57,AstAdjChg3YOCF,3Y Chg in Asset Adjusted Operating Cash Flow,Historical Growth,0.048215870769821256,13.0,86.0
58,Chg3YAstTo,3Y Chg in Sales Turnover,Historical Growth,0.03079335853745735,24.0,164.0
59,Chg3YCF,3Y Chg in Cash Flow per Share,Historical Growth,0.018822928719424814,35.0,206.0
60,Chg3YEPS,3Y Chg in Earnings per Share,Historical Growth,0.021579821505127716,33.0,198.0
61,Chg3YFCF,3Y Chg in Free Cash Flow per Share,Historical Growth,0.051315502953207526,10.0,71.0
62,Chg3YOCF,3Y Chg in Operating Cash Flow per Share,Historical Growth,0.054418403663329507,9.0,62.0
63,Chg3YOPM,3Y Chg in Operating Margin,Historical Growth,0.01484581745061897,37.0,218.0
64,PAdjChg3YCF,3Y Chg in Cash Flow to Price,Historical Growth,0.01033570883920043,39.0,228.0
65,PAdjChg3YEPS,3Y Chg in Earnings to Price,Historical Growth,0.008098656616378985,41.0,232.0
66,PAdjChg3YFCF,3Y Chg in Free Cash Flow to Price,Historical Growth,0.041937669282292145,15.0,104.0
67,PAdjChg3YOCF,3Y Chg in Operating Cash Flow to Price,Historical Growth,0.03526757233164912,22.0,139.0
68,PM9M,9 Month Price Momentum,Price Momentum,0.0407714269354158,33.0,110.0
69,PRatio15To36W,15/36 Week Price Ratio,Price Momentum,0.06142842570703855,12.0,45.0
70,RSI26W,26W Relative Price Strength,Price Momentum,0.01574799013618211,50.0,215.0
71,Beta60M,60M CAPM Beta,Volatility,0.06882660344431524,3.0,27.0
72,STO,Share Turnover,Price Momentum,0.053303377398050245,17.0,66.0
