factorAbbreviation,factorName,styleName,cagr,rank_style,rank_total
EbitdaToAst,EBITDA to Assets,Capital Efficiency,0.01785273812827426,23.0,213.0
PTIToNOA,Pretax Income to Net Operating Assets,Earnings Quality,0.017297340719192755,42.0,214.0
SP,Sales to Price Ratio,Valuation,0.017296227970514666,32.0,215.0
CVVolPrc20D,20 Day Coefficient of Variation of Volume to Price,Price Momentum,0.016770798717661295,50.0,216.0
AstGrwth,Asset Growth - 1 Year,Capital Efficiency,0.015968595499968652,24.0,217.0
LogTTMSales,Log TTM Sales,Size,0.015565457523202486,2.0,218.0
IO_TO,Institution Ownership Turnover,Price Momentum,0.015101274492104189,51.0,219.0
TTMOverheadtoSales,Trailing 12-Month Overhead/Trailing 12-Month Sales,Historical Growth,0.014437252595668193,38.0,220.0
CFAst,Cash Flow to Total Asset,Earnings Quality,0.013771612809410971,43.0,221.0
InvToAstChg1Y,Year over Year Change of Inventory to Assets,Earnings Quality,0.013352259747296591,44.0,222.0
CFEqt,Cash Flow to Equity,Valuation,0.0130291951858581,33.0,223.0
InvTurn,Inventory Turnover,Earnings Quality,0.012119034547797725,45.0,224.0
Chg3YCF,3Y Chg in Cash Flow per Share,Historical Growth,0.011931598945246424,39.0,225.0
IO_ChgofIO_AM,Change of Ownership Level - All Managers,Price Momentum,0.010232840458702208,52.0,226.0
ROIC,Return on Invested Capital,Capital Efficiency,0.0099061473589388,25.0,227.0
LogMktCapCubed,Log of Market Capitalization Cubed,Size,0.008908898053355152,3.0,228.0
CashP,Cash to Price,Valuation,0.006977799749002811,34.0,229.0
CVVolPrc60D,60 Day Coefficient of Variation of Volume to Price,Price Momentum,0.006072342692380994,53.0,230.0
CFIC,Cash Flow to Invested Capital,Earnings Quality,0.0051704338456239896,46.0,231.0
LogMktCap,Log Market Cap,Size,0.004105752159808018,4.0,232.0
AstAdjChg3YEPS,3Y Chg in Asset Adjusted EPS,Historical Growth,0.003937546760872435,40.0,233.0
PAdjChg3YCF,3Y Chg in Cash Flow to Price,Historical Growth,0.002751505229276807,41.0,234.0
NetProfitMargin,Net Profit Margin,Earnings Quality,-0.0005917498030993951,47.0,235.0
ROE,Return on Equity,Capital Efficiency,-0.000880070447895287,26.0,236.0
CashCycle,Cash Conversion Cycle,Earnings Quality,-0.0009247693205820529,48.0,237.0
60MAVGTTMROE,Normalized ROE,Capital Efficiency,-0.009173845646372025,27.0,238.0
EP,Earnings to Price,Valuation,-0.013904449100230365,35.0,239.0
STO_6M,6 Month Average Share Turn Over,Price Momentum,-0.02158756060389,54.0,240.0
